---
PBS: la directory di lavoro e' /homes/DMA/PDC/2024/NVLFNC97Z/prova2/codice
PBS: Compilazione in esecuzione...
PBS: Compilazione completata.
PBS: Job in esecuzione su un pool di 8 threads...
>>>

Calcolo del prodotto matrice-vettore terminato in 8.968115e-03 sec
Risultato:
Riga 0 -> 17690.549882
Riga 1 -> 17834.832189
Riga 2 -> 18729.561892
Riga 3 -> 17240.563656
Riga 4 -> 17014.053738
Riga 5 -> 15839.252408
Riga 6 -> 19783.304600
Riga 7 -> 15249.201415
Riga 8 -> 16430.440161
Riga 9 -> 17411.733118
Riga 10 -> 17995.982533
Riga 11 -> 18130.634281
Riga 12 -> 16147.171895
Riga 13 -> 17284.904709
Riga 14 -> 17397.748752
Riga 15 -> 18235.435192
Riga 16 -> 17935.518267
Riga 17 -> 17780.915466
Riga 18 -> 16522.844494
Riga 19 -> 20320.552613
Riga 20 -> 20418.807999
Riga 21 -> 18413.602582
Riga 22 -> 16597.303198
Riga 23 -> 20710.685020
Riga 24 -> 16220.593664
Riga 25 -> 16060.451741
Riga 26 -> 18052.960813
Riga 27 -> 13153.656060
Riga 28 -> 18201.136263
Riga 29 -> 12870.549357
Riga 30 -> 15250.070314
Riga 31 -> 16399.735829
Riga 32 -> 16573.706054
Riga 33 -> 14342.428471
Riga 34 -> 14793.129760
Riga 35 -> 21563.326554
Riga 36 -> 18635.837253
Riga 37 -> 13621.228463
Riga 38 -> 16103.137762
Riga 39 -> 21559.814381
Riga 40 -> 18029.352247
Riga 41 -> 14639.470664
Riga 42 -> 17684.668792
Riga 43 -> 15693.041827
Riga 44 -> 18777.002002
Riga 45 -> 17115.983746
Riga 46 -> 17270.768054
Riga 47 -> 17073.909742
Riga 48 -> 16481.573591
Riga 49 -> 15366.418676
Riga 50 -> 17915.211442
Riga 51 -> 14944.656818
Riga 52 -> 17003.582795
Riga 53 -> 17128.660119
Riga 54 -> 15717.206497
Riga 55 -> 18696.659372
Riga 56 -> 18050.425517
Riga 57 -> 17866.009073
Riga 58 -> 17567.043023
Riga 59 -> 17232.095909
Riga 60 -> 16383.807259
Riga 61 -> 16662.645735
Riga 62 -> 13316.181536
Riga 63 -> 16719.037771
Riga 64 -> 15160.903451
Riga 65 -> 16071.051090
Riga 66 -> 15378.458915
Riga 67 -> 17833.086321
Riga 68 -> 17292.208361
Riga 69 -> 17267.112190
Riga 70 -> 22189.069391
Riga 71 -> 17580.947614
Riga 72 -> 16157.423599
Riga 73 -> 16274.006258
Riga 74 -> 19565.201370
Riga 75 -> 13443.398016
Riga 76 -> 16793.322990
Riga 77 -> 13260.407829
Riga 78 -> 14828.377248
Riga 79 -> 13607.847621
Riga 80 -> 15613.195224
Riga 81 -> 18051.491837
Riga 82 -> 18281.586375
Riga 83 -> 18589.779444
Riga 84 -> 16045.269408
Riga 85 -> 14778.151120
Riga 86 -> 16142.371649
Riga 87 -> 16625.193253
Riga 88 -> 16672.892813
Riga 89 -> 18173.981300
Riga 90 -> 15076.381159
Riga 91 -> 17902.276012
Riga 92 -> 17305.733913
Riga 93 -> 15543.318460
Riga 94 -> 15727.804491
Riga 95 -> 16809.742353
Riga 96 -> 15840.289206
Riga 97 -> 18147.857008
Riga 98 -> 16495.347092
Riga 99 -> 14259.607745
Riga 100 -> 17282.506755
Riga 101 -> 16304.341215
Riga 102 -> 13142.361684
Riga 103 -> 19282.881437
Riga 104 -> 16277.548861
Riga 105 -> 17245.473642
Riga 106 -> 16531.540948
Riga 107 -> 16967.837331
Riga 108 -> 15146.699208
Riga 109 -> 16925.781105
Riga 110 -> 16007.957932
Riga 111 -> 16959.784132
Riga 112 -> 15217.400693
Riga 113 -> 18333.790072
Riga 114 -> 16822.744102
Riga 115 -> 15420.563268
Riga 116 -> 15215.271949
Riga 117 -> 16126.712696
Riga 118 -> 15627.440830
Riga 119 -> 15668.691161
Riga 120 -> 15959.191547
Riga 121 -> 17000.651702
Riga 122 -> 13015.209204
Riga 123 -> 14958.575617
Riga 124 -> 16904.914529
Riga 125 -> 14936.862867
Riga 126 -> 18426.140260
Riga 127 -> 13856.440085
Riga 128 -> 15577.989694
Riga 129 -> 16658.031930
Riga 130 -> 16338.712704
Riga 131 -> 16031.302524
Riga 132 -> 19386.643431
Riga 133 -> 15205.724362
Riga 134 -> 14859.333442
Riga 135 -> 19571.641001
Riga 136 -> 13472.070552
Riga 137 -> 13881.220126
Riga 138 -> 18351.169568
Riga 139 -> 18685.943201
Riga 140 -> 17495.555333
Riga 141 -> 14639.350323
Riga 142 -> 16686.092083
Riga 143 -> 15668.191707
Riga 144 -> 17464.187517
Riga 145 -> 13973.100904
Riga 146 -> 18272.935335
Riga 147 -> 19048.493333
Riga 148 -> 12864.528052
Riga 149 -> 18137.087574
Riga 150 -> 18382.800927
Riga 151 -> 17626.207777
Riga 152 -> 16172.571331
Riga 153 -> 14575.386820
Riga 154 -> 17528.580479
Riga 155 -> 14594.306691
Riga 156 -> 16783.212299
Riga 157 -> 19951.022977
Riga 158 -> 15872.685093
Riga 159 -> 16524.605701
Riga 160 -> 16676.400417
Riga 161 -> 17290.671545
Riga 162 -> 17528.079263
Riga 163 -> 19468.955719
Riga 164 -> 17329.960406
Riga 165 -> 15845.266331
Riga 166 -> 14379.538947
Riga 167 -> 18276.877910
Riga 168 -> 17177.583096
Riga 169 -> 17898.108497
Riga 170 -> 14824.659706
Riga 171 -> 15603.139236
Riga 172 -> 19052.093448
Riga 173 -> 16694.502281
Riga 174 -> 17293.213750
Riga 175 -> 17710.018163
Riga 176 -> 15775.876015
